"comp_1","comp_2","milestone_id"
-2.67800872171867,4.52811397423196,"M148"
-9.25484807940553,2.28130698309836,"M149"
-9.29562671551568,2.41693334940037,"M129"
0.167898245761916,6.79186541010467,"M150"
-10.9652320864953,-0.674787845670043,"M8"
-7.05578405926753,-3.11618080162224,"M152"
3.17345535681844,8.50908102236956,"M154"
3.0722317816597,8.33738972223823,"M121"
3.03704762742397,13.8340649002851,"M155"
3.03268204886592,13.7322134737019,"M146"
-6.87199085091651,1.3457460969049,"M156"
3.52400739749394,10.7375837880526,"M157"
-7.13009012957674,1.71639703285084,"M158"
-7.99337397827547,-2.26247734312979,"M159"
-2.11345436799039,5.30622438350979,"M161"
-2.38233059346565,5.29771556121419,"M119"
-2.5929143955247,5.00391522320896,"M162"
-10.8722463960228,-0.809888696766097,"M151"
